"pID","Well","Name","Plate 1",,"treat"
3,"D8","hsa-miR-139-3p",0.916289336,"c1","c"
3,"C8","hsa-miR-139-5p",0.927127551,"c1","c"
3,"F8","hsa-miR-140-3p",0.829334391,"c1","c"
3,"E8","hsa-miR-140-5p",0.824557013,"c1","c"
3,"H8","hsa-miR-141",0.779279119,"c1","c"
3,"G8","hsa-miR-141*",0.796926802,"c1","c"
3,"B9","hsa-miR-142-3p",1.024171965,"c1","c"
3,"A9","hsa-miR-142-5p",1.011016417,"c1","c"
3,"D9","hsa-miR-143",0.923241457,"c1","c"
3,"C9","hsa-miR-143*",1.088095808,"c1","c"
3,"F9","hsa-miR-144",0.913722423,"c1","c"
3,"E9","hsa-miR-144*",0.875574896,"c1","c"
3,"G9","hsa-miR-145",0.955934297,"c1","c"
3,"H9","hsa-miR-145*",0.850475933,"c1","c"
3,"A10","hsa-miR-1468",1.123854676,"c1","c"
3,"B10","hsa-miR-1469",1.0391814,"c1","c"
3,"C10","hsa-miR-146a",1.048058795,"c1","c"
3,"D10","hsa-miR-146a*",0.976184555,"c1","c"
3,"F10","hsa-miR-146b-3p",1.072480332,"c1","c"
3,"E10","hsa-miR-146b-5p",0.980890547,"c1","c"
3,"G10","hsa-miR-147",1.021605045,"c1","c"
3,"H10","hsa-miR-1470",0.959142914,"c1","c"
3,"A11","hsa-miR-1471",1.243787645,"c1","c"
3,"B11","hsa-miR-147b",1.06948558,"c1","c"
3,"D11","hsa-miR-148a",1.085101057,"c1","c"
3,"C11","hsa-miR-148a*",1.135869353,"c1","c"
3,"F11","hsa-miR-148b",0.997753878,"c1","c"
3,"E11","hsa-miR-148b*",1.048272653,"c1","c"
3,"G11","hsa-miR-149",0.980890547,"c1","c"
3,"H11","hsa-miR-149*",1.022745909,"c1","c"
4,"A2","ath-miR416",0.927160834,"c1","c"
4,"B2","cel-miR-243",1.072839166,"c1","c"
4,"C2","hsa-miR-150",0.936112865,"c1","c"
4,"D2","hsa-miR-150*",0.816917735,"c1","c"
4,"F2","hsa-miR-151-3p",0.963424993,"c1","c"
4,"E2","hsa-miR-151-5p",0.926912125,"c1","c"
4,"G2","hsa-miR-152",0.999564833,"c1","c"
4,"H2","hsa-miR-153",0.969931769,"c1","c"
4,"A3","hsa-miR-153",1.073709492,"c1","c"
4,"B3","hsa-miR-1537",1.068611791,"c1","c"
4,"C3","hsa-miR-1538",1.149926362,"c1","c"
4,"D3","hsa-miR-1539",0.974200604,"c1","c"
4,"E3","hsa-miR-154",1.007853796,"c1","c"
4,"F3","hsa-miR-154*",0.976480081,"c1","c"
4,"G3","hsa-miR-155",0.950204126,"c1","c"
4,"H3","hsa-miR-155*",0.959404806,"c1","c"
4,"A4","hsa-miR-15a",1.031228589,"c1","c"
4,"B4","hsa-miR-15a*",0.898481023,"c1","c"
4,"C4","hsa-miR-15b",1.160038964,"c1","c"
4,"D4","hsa-miR-15b*",0.775431554,"c1","c"
4,"E4","hsa-miR-16",0.969890377,"c1","c"
4,"G4","hsa-miR-16",0.948877844,"c1","c"
4,"F4","hsa-miR-16-1*",0.991234419,"c1","c"
4,"H4","hsa-miR-16-2*",1.116936392,"c1","c"
4,"A5","hsa-miR-17",0.912903784,"c1","c"
4,"B5","hsa-miR-17*",1.021281843,"c1","c"
4,"C5","hsa-miR-181a",1.152827583,"c1","c"
4,"E5","hsa-miR-181a",1.006942002,"c1","c"
4,"F5","hsa-miR-181a-2*",1.042750273,"c1","c"
4,"D5","hsa-miR-181a*",0.989245051,"c1","c"
4,"H5","hsa-miR-181b",1.144289912,"c1","c"
4,"G5","hsa-miR-181b",1.044656713,"c1","c"
4,"A6","hsa-miR-181c",0.872826754,"c1","c"
4,"B6","hsa-miR-181c*",1.01469214,"c1","c"
4,"C6","hsa-miR-181d",0.98199221,"c1","c"
4,"D6","hsa-miR-182",0.910748705,"c1","c"
4,"E6","hsa-miR-182*",0.920902639,"c1","c"
4,"F6","hsa-miR-1825",1.085728457,"c1","c"
4,"G6","hsa-miR-1827",1.050790519,"c1","c"
4,"H6","hsa-miR-183",1.059286722,"c1","c"
4,"A7","hsa-miR-183*",1.180844248,"c1","c"
4,"B7","hsa-miR-184",1.260335317,"c1","c"
4,"C7","hsa-miR-185",1.16260848,"c1","c"
4,"D7","hsa-miR-185*",1.105041739,"c1","c"
4,"E7","hsa-miR-186",1.20239547,"c1","c"
4,"F7","hsa-miR-186*",1.131151973,"c1","c"
4,"H7","hsa-miR-187",1.116646275,"c1","c"
4,"G7","hsa-miR-187*",1.068072974,"c1","c"
4,"B8","hsa-miR-188-3p",1.158422573,"c1","c"
4,"A8","hsa-miR-188-5p",0.97846944,"c1","c"
4,"C8","hsa-miR-18a",0.909132305,"c1","c"
4,"D8","hsa-miR-18a*",1.114159559,"c1","c"
4,"E8","hsa-miR-18b",0.997119577,"c1","c"
