playe #,well,name,c1,c2,c3,avg,v4,v5,v6,avg,Ratio,z-score vcr
1,F11,hsa-miR-1229,1.215765429,1.045375067,1.174278781,1.145139759,0.543371853,0.761128743,0.54945975,0.617986782,0.539660576,0.592253702
1,G11,hsa-miR-1231,1.1525274,0.93144948,1.172737387,1.085571422,0.561079251,0.719466562,0.577029633,0.619191815,0.570383305,0.627733359
1,H11,hsa-miR-1233,1.191352583,1.188859494,1.108099023,1.162770366,0.589579119,0.43512364,0.609376489,0.544693083,0.468444242,0.040278646
2,A2,ath-miR416,0.992803446,1.05984216,1.006011837,1.019552481,0.70180406,0.825646073,0.66058712,0.729345751,0.715358714,0.138392461
2,B2,cel-miR-243,1.007196554,0.94015784,0.993988163,0.980447519,0.789926445,0.761176928,0.789696849,0.780266741,0.795827136,0.570485525
2,C2,hsa-miR-1234,0.967782803,0.909316213,0.980074681,0.952391232,0.790998961,0.844053863,0.783457337,0.806170054,0.84646942,0.734262792
2,D2,hsa-miR-1236,0.986082025,0.937678849,0.945958774,0.956573216,0.783448132,0.724319617,0.724502011,0.74408992,0.777870327,0.296356889
2,E2,hsa-miR-1237,1.019091039,0.95689103,0.985907257,0.987296442,0.746294295,0.779501487,0.794056475,0.773284085,0.783233943,0.514720849
2,F2,hsa-miR-1238,1.003923806,0.930241876,0.977142067,0.970435916,0.779629749,0.814234848,0.786337105,0.793400567,0.817571314,0.650106699
2,B3,hsa-miR-124,0.948463102,0.783944839,1.018133245,0.916847062,0.772979848,0.780459335,0.78269735,0.778712178,0.849337049,0.551135217
2,H2,hsa-miR-124,0.903348415,0.92196638,0.959872262,0.928395686,0.741060157,0.722487153,0.739820812,0.734456041,0.791102384,0.230369102
2,E3,hsa-miR-124,0.934421947,1.142924799,0.939507008,1.005617918,0.769418852,0.575974028,0.81865449,0.721349123,0.717319283,0.201231971
2,D3,hsa-miR-124*,0.96634004,1.090282682,0.955636278,1.004086334,0.814767119,0.761343536,0.780057607,0.78538942,0.782193119,0.605388027
2,A3,hsa-miR-124*,1.043337557,0.73797412,0.986330867,0.922547515,0.778642963,0.775628372,0.858051328,0.804107554,0.871616412,0.761473812
2,G2,hsa-miR-124*,1.033800824,0.899035712,0.989980307,0.974272281,0.701846955,0.746683898,0.725621969,0.724717607,0.743855308,0.147149874
2,C3,hsa-miR-1243,1.046856553,1.024516419,0.98734102,1.019571331,0.81708387,0.81227743,0.73146146,0.78694092,0.77183508,0.5872552
2,F3,hsa-miR-1244,0.948498267,1.057217282,0.923931635,0.976549061,0.798077979,0.709701633,0.743980463,0.750586692,0.768611349,0.354302044
2,G3,hsa-miR-1245,0.888110802,1.16567326,0.964825177,1.00620308,0.763069234,0.810861481,0.749899989,0.774610235,0.769834887,0.502174617
2,H3,hsa-miR-1246,1.089930165,1.094219936,1.007250118,1.063800073,0.722397443,0.777294229,0.640948736,0.713546803,0.67075273,0.031056804
2,A4,hsa-miR-1247,1.030915194,0.922659075,0.738461076,0.897345115,0.764714939,0.761260228,0.866050708,0.797341958,0.888556638,0.718320787
2,B4,hsa-miR-1248,0.991431007,0.91081092,0.782189386,0.894810438,0.762983444,0.719363625,0.703103752,0.728483607,0.814120596,0.17671013
2,C4,hsa-miR-1249,0.989178849,0.995424718,0.819856993,0.934820187,0.82141709,0.74347707,0.844372455,0.803088872,0.859083793,0.75981157
2,D4,hsa-miR-1250,0.874034489,1.145112142,0.771860098,0.930335576,0.653066457,0.613789195,0.621710236,0.629521963,0.676661173,-0.543702686
2,E4,hsa-miR-1251,0.962785669,1.128306063,0.781048898,0.95738021,0.787652589,0.75422194,0.891648669,0.811174399,0.84728553,0.829767426
2,F4,hsa-miR-1252,0.920697476,1.129582003,0.669186573,0.906488684,0.680695902,0.692293269,0.807575367,0.726854846,0.801835543,0.203151409
2,G4,hsa-miR-1253,0.976721328,1.068153975,0.75276562,0.932546974,0.753373243,0.608666672,0.819694413,0.727244776,0.779847875,0.235005455
2,H4,hsa-miR-1254,0.919325044,1.133956682,0.860848223,0.97137665,0.68648778,0.709868173,0.707543412,0.701299789,0.721964841,-0.019378375
2,A5,hsa-miR-1255a,1.054739323,0.768378264,0.856807721,0.893308436,0.702867963,0.843637416,0.833213362,0.79323958,0.887979502,0.653509917
2,B5,hsa-miR-1255b,1.055337636,0.95823991,0.86922245,0.960933332,0.797563133,0.842762876,0.863890892,0.834738967,0.868675213,0.968370478
2,C5,hsa-miR-1255b,1.072123661,0.954448476,0.939344073,0.988638737,0.789668988,0.861462227,0.917366634,0.85616595,0.866004859,1.13598169
2,D5,hsa-miR-1256,0.944240199,0.745885013,0.83699641,0.842373874,0.787867082,0.76621622,0.868170555,0.807417952,0.958503079,0.79165384
2,E5,hsa-miR-1257,0.949342821,0.704835832,0.936541846,0.8635735,0.761353187,0.81352684,0.858851299,0.811243775,0.939403277,0.802731198
2,F5,hsa-miR-1258,1.050762773,1.082444728,0.910995654,1.014734385,0.833858878,0.899402348,0.79921608,0.844159102,0.831901545,1.001821145
2,H5,hsa-miR-125a-3p,0.992873882,1.104354557,0.810277183,0.969168541,0.755947391,0.830601989,0.767938561,0.784829313,0.809796522,0.576657894
2,G5,hsa-miR-125a-5p,1.04917914,0.749785772,0.855634686,0.884866532,0.760795447,0.836016073,0.841612699,0.812808073,0.918565731,0.802421513
2,A6,hsa-miR-125b,1.185508415,0.933085403,0.945144102,1.021245974,0.83192827,0.844220471,0.919006488,0.865051743,0.84705523,1.207170858
2,C6,hsa-miR-125b,1.145179786,1.133956682,1.004545526,1.094560665,0.82013002,0.871165882,0.850931947,0.847409283,0.77420038,1.049314473
2,B6,hsa-miR-125b-1*,1.069061996,1.042088124,0.823897449,0.97834919,0.771907262,0.783791116,0.798176149,0.784624842,0.801988544,0.59815246
2,D6,hsa-miR-125b-2*,1.034997338,1.083356131,0.758989265,0.959114245,0.844455857,0.776502921,0.867090639,0.829349806,0.864703877,0.949780752
2,F6,hsa-miR-126,1.106892114,1.1165673,0.820834494,1.014764636,0.815496517,0.82193949,0.829093696,0.822176568,0.810214052,0.872110442
2,E6,hsa-miR-126*,1.041718759,1.143398777,0.87404488,1.019720805,0.726945086,0.826478967,0.881529442,0.811651165,0.795954305,0.808340355
2,G6,hsa-miR-1260,1.037495856,1.141976959,0.76749378,0.982322198,0.784563544,0.766965806,0.920926353,0.824151901,0.838983281,0.929952007
2,H6,hsa-miR-1261,0.974609824,1.216638347,0.984962297,1.058736823,0.750799043,0.813360232,0.845332351,0.803163875,0.758605782,0.739349871
2,A7,hsa-miR-1262,1.136065337,1.083392575,0.828426701,1.015961538,0.828367352,0.854215678,0.880609531,0.854397521,0.840974278,1.114538453
2,B7,hsa-miR-1263,1.165660837,1.097245676,0.820150268,1.027685594,0.781946501,0.846927483,0.833973291,0.820949092,0.798832928,0.856864565
2,C7,hsa-miR-1264,1.197262142,1.106469012,0.942765491,1.082165548,0.835274711,0.877871022,0.951163876,0.888103203,0.82067222,1.376033319
2,D7,hsa-miR-1265,1.069625032,1.134831641,0.881148284,1.028534986,0.809876228,0.834141963,0.893728523,0.845915571,0.822447056,1.061958901
2,E7,hsa-miR-1266,0.875266162,0.869470091,0.627511058,0.790749104,0.318167176,0.423921873,0.764258886,0.502115978,0.63498773,-1.383264172
2,F7,hsa-miR-1267,1.163584603,1.136873207,0.974795996,1.091751269,0.82677993,0.901942813,0.884689212,0.871137318,0.797926545,1.224499192
2,G7,hsa-miR-1268,1.053754003,1.247078987,0.821453637,1.040762209,0.76165347,0.88653352,0.890528775,0.846238589,0.813095039,1.047451435
2,H7,hsa-miR-1269,0.983794597,1.195566923,1.033219815,1.070860445,0.776626564,0.878370777,0.81985441,0.824950584,0.770362364,0.872683352
2,B8,hsa-miR-127-3p,1.17495121,0.964109229,0.679646143,0.939568861,0.768904016,0.875913604,0.973202109,0.872673243,0.928801793,1.269325522
2,A8,hsa-miR-127-5p,1.140217804,1.13497741,0.814969324,1.030054846,0.859686408,0.85138372,0.831293497,0.847454542,0.822727591,1.049999429
2,C8,hsa-miR-1270,1.159819135,1.09983411,0.712589015,0.99074742,0.791213515,0.848176893,0.980881502,0.87342397,0.881580868,1.285526235
