Name,x,y,z,Color
hsa-miR-105*,0.930560887,1.061643397,0.871898867,black
hsa-miR-124,0.932509056,1.045445028,0.699132526,black
hsa-miR-363,0.932930458,0.995007395,0.810257888,black
hsa-miR-381,0.933417946,0.894194734,0.727783479,black
hsa-miR-508-3p,0.934271276,0.973812734,0.868023056,black
hsa-miR-133a,0.934903654,1.134984265,0.769395112,black
hsa-miR-370,0.935234614,0.920106814,0.747418608,black
hsa-miR-483-3p,0.935385239,0.963661049,0.857951231,black
hsa-miR-106a,0.935607268,1.027783,0.839537478,black
hsa-miR-449b,0.935617066,0.782151323,0.696179864,black
hsa-miR-379*,0.935765307,0.93121136,0.756010029,black
hsa-miR-600,0.936203595,0.796686107,0.591750899,black
hsa-miR-380*,0.936496569,1.105776783,0.897031117,black
hsa-miR-139-3p,0.936592224,1.227100256,0.830339959,black
hsa-miR-149,0.936721908,1.169281475,0.791106278,black
hsa-miR-555,0.937401824,0.886287896,0.758334662,black
hsa-miR-1253,0.937828377,0.977632762,0.650075414,black
hsa-let-7a-2*,0.938308017,0.953774772,0.776841913,black
hsa-miR-144*,0.938613991,1.253452961,0.846345045,black
hsa-miR-491-3p,0.938853794,1.049702832,0.931101898,black
hsa-miR-1204,0.938924915,1.077721471,0.877218772,black
hsa-miR-363*,0.938931174,0.979540682,0.792565111,black
hsa-miR-491-5p,0.939237875,1.066284163,0.945423014,black
hsa-miR-136,0.939618875,1.238065287,0.835061101,black
hsa-miR-618,0.94032559,0.908357832,0.671739207,black
hsa-miR-1283,0.94067338,1.166080334,0.773038245,black
hsa-miR-124,0.940691225,0.985920759,0.653591329,black
hsa-miR-140-3p,0.941288804,1.175015398,0.791128635,black
hsa-miR-448,0.941300395,0.980080805,0.867086553,black
hsa-miR-548f,0.941309021,0.906148849,0.772110051,black
hsa-miR-17,0.941349937,0.866443381,0.738686561,black
hsa-miR-550a,0.941468313,0.974853947,0.830511652,black
hsa-miR-181c,0.942049288,0.987399419,0.841182734,black
hsa-miR-583,0.942217828,0.719075867,0.530695474,black
hsa-miR-339-5p,0.94224699,0.940390262,0.758210154,black
hsa-miR-138-1*,0.942606622,1.248992186,0.839760947,black
hsa-miR-1249,0.942761374,1.078581787,0.713448561,black
hsa-miR-129-5p,0.943241842,1.072864645,0.709305357,black
hsa-miR-188-5p,0.94366014,1.052289201,0.894933181,black
hsa-miR-127-3p,0.944691944,1.084855875,0.716132193,black
hsa-miR-9,0.945138705,0.932564406,0.846466392,black
hsa-miR-550a,0.945440718,1.078962544,0.915343177,black
hsa-miR-548p,0.945855843,0.978566916,0.8298077,black
hsa-miR-185*,0.945869398,0.962454492,0.816620235,black
hsa-miR-556-3p,0.945987158,0.941508987,0.798272396,black
hsa-miR-365,0.946151644,1.036100409,0.83193104,black
hsa-miR-1302,0.946153785,1.02037977,0.68348116,black
hsa-miR-498,0.94641735,1.022834186,0.900018321,black
hsa-miR-337-5p,0.946480137,1.096198728,0.879881165,black
hsa-miR-507,0.947275793,0.98986376,0.870217462,black
hsa-miR-650,0.947408266,0.958335675,0.86777457,black
hsa-miR-16-2*,0.947738428,0.887754167,0.751753289,black
hsa-miR-551b*,0.947797119,0.913980338,0.773451973,black
hsa-miR-509-3p,0.947806213,0.938052002,0.824206759,black
hsa-miR-362-5p,0.947933099,1.137398275,0.911551288,black
hsa-miR-1470,0.947946282,1.198972158,0.801589113,black
hsa-miR-609,0.948070725,0.882138814,0.647020711,black
hsa-miR-548o,0.948133903,0.980117328,0.829125504,black
hsa-miR-548a-3p,0.948175085,0.99156263,0.83877117,black
hsa-miR-615-5p,0.948542483,0.843440201,0.618328832,black
hsa-miR-623,0.948689962,0.923230897,0.676718443,black
hsa-miR-576-3p,0.949206321,0.821947694,0.602151187,black
hsa-miR-149*,0.949586129,1.233464741,0.823225504,black
hsa-miR-181d,0.950465462,0.936054918,0.790380282,black
hsa-miR-1224-3p,0.950957995,1.085698806,0.872529805,black
hsa-miR-1302,0.951087374,1.019948302,0.679648218,black
hsa-miR-548f,0.951270494,0.908056315,0.765632992,black
hsa-miR-25,0.951665637,1.018883328,0.853503836,black
hsa-miR-640,0.951952554,1.125277887,0.821989876,black
hsa-miR-144,0.95255381,1.251266465,0.832504762,black
hsa-miR-617,0.953035783,0.878484858,0.64098381,black
hsa-miR-361-3p,0.953071126,1.025909784,0.817767959,black
hsa-miR-548n,0.953187008,1.002541522,0.843599158,black
hsa-miR-24-2*,0.953487182,0.93110553,0.778483578,black
hsa-miR-383,0.95384032,0.964322527,0.768055966,black
hsa-miR-485-3p,0.954252113,0.937078496,0.817789726,black
hsa-miR-510,0.954583887,0.951907458,0.830442254,black
hsa-miR-487b,0.954705506,1.0023026,0.874295491,black
hsa-miR-1302,0.955121657,1.026117875,0.680871255,black
hsa-miR-15b,0.955914031,0.827097843,0.694399117,black
hsa-let-7f-1*,0.956047695,0.927386133,0.741332916,black
hsa-miR-423-5p,0.95632575,1.030029561,0.896959116,black
hsa-miR-146a*,0.956332048,1.258167009,0.833788734,black
hsa-miR-30a*,0.957589013,1.114153461,0.927537054,black
hsa-miR-425*,0.957920112,1.000343609,0.869658446,black
hsa-miR-100,0.958567287,0.858309719,0.684311236,black
hsa-miR-548a-5p,0.959368633,0.977086758,0.816882318,black
