,,,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6
2,C8,hsa-miR-1270,1.159819135,1.09983411,0.712589015,1.099594193,1.032511467,1.523617258
2,D8,hsa-miR-1271,1.091408197,1.12549898,0.710699095,1.150215381,0.937351699,1.418683775
2,E8,hsa-miR-1272,1.059490104,0.769398992,0.735626202,1.090948622,0.869011035,1.401225889
2,F8,hsa-miR-1273,1.125684049,1.198264681,0.86130438,1.173528463,1.100649324,1.524300715
2,G8,hsa-miR-1275,1.007337313,1.201655068,0.883298873,1.017550899,0.94647729,1.424275247
2,H8,hsa-miR-1276,1.043759834,1.170266589,1.023835539,1.100786636,1.057961799,1.220310365
2,A9,hsa-miR-1277,1.134657733,1.206284958,0.865019014,1.248178339,1.083107921,1.44800805
2,B9,hsa-miR-1278,1.155561067,1.229580162,0.843154855,1.101084813,1.004627676,1.490813878
2,C9,hsa-miR-1279,1.169109509,1.187510202,0.871601068,1.10245611,1.047822227,1.437322045
2,F9,hsa-miR-128,1.022258187,1.137128301,0.846152617,1.045395565,1.082702298,1.430177343
2,H9,hsa-miR-128,0.951489497,1.214487448,0.847064977,1.130837433,1.041738451,1.247895006
2,D9,hsa-miR-1280,1.036651295,1.251344223,0.827677223,1.136859469,0.983283918,1.447324593
2,E9,hsa-miR-1281,0.95071526,1.104172344,0.708744041,1.101979176,0.996921635,1.422162968
2,G9,hsa-miR-1282,0.983583515,1.188239385,0.829762671,1.070318604,1.022980334,1.429928917
2,A10,hsa-miR-1283,1.129238315,0.978509314,0.903827056,1.259924307,1.168178814,1.474660708
2,B10,hsa-miR-1283,1.070645629,0.99203444,0.74093748,1.18503606,1.04021759,1.393708454
2,C10,hsa-miR-1284,1.162141729,1.142596706,0.767656714,1.215563706,1.091878576,1.465590143
2,E10,hsa-miR-1285,0.973554068,1.214961427,0.725916058,1.14329891,1.090560449,1.54958666
2,D10,hsa-miR-1285,1.0869741,1.194108653,0.687564167,1.197914942,1.072055763,1.44546074
2,F10,hsa-miR-1286,1.079689636,1.228486553,0.80793106,1.152719604,1.101612607,1.393646344
2,G10,hsa-miR-1287,0.97816409,1.174969477,0.719334004,1.136322813,1.029216138,1.336426805
2,H10,hsa-miR-1288,1.0978481,1.28112867,0.873067372,1.044680068,0.944398686,1.186078062
2,B11,hsa-miR-1289,1.061636773,0.979785254,0.932012646,1.096136005,1.079001337,1.421355292
2,A11,hsa-miR-1289,1.182939469,1.043874486,0.937323872,1.152182948,1.158799709,1.397373963
2,E11,hsa-miR-129-5p,1.022750906,1.015767062,0.771664623,1.039552394,0.932484729,1.365440457
2,H11,hsa-miR-129-5p,1.041859518,1.263046542,0.975708304,1.071093727,0.975527171,1.240626084
2,F11,hsa-miR-129*,1.094117909,0.956927467,0.85801335,1.169235539,1.028911918,1.368919562
2,C11,hsa-miR-1290,1.111924413,0.99090427,0.997148905,1.080216244,0.940545707,1.452543333
2,D11,hsa-miR-1291,1.071349424,1.006543733,0.82031315,0.964902518,0.918340069,1.431606367
2,G11,hsa-miR-1292,0.942304612,1.187656081,0.835790782,1.086894152,0.936489829,1.268148616
3,A2,ath-miR416,1.046490085,1.053249539,0.951318479,1.099597869,1.106283836,1.043251693
3,B2,cel-miR-243,0.953509915,0.946750461,1.048681521,0.900402131,0.893716164,0.956748307
